iter	Passed	Remaining
0	0	73
1	1	63
2	1	59
3	2	54
4	2	53
5	3	52
6	3	51
7	4	50
8	4	50
9	5	49
10	6	48
11	6	48
12	7	47
13	7	47
14	8	46
15	8	45
16	9	45
17	9	44
18	10	44
19	10	43
20	11	43
21	11	42
22	12	41
23	12	40
24	13	40
25	13	39
26	14	38
27	14	38
28	15	38
29	16	37
30	16	37
31	17	37
32	18	36
33	18	36
34	19	35
35	19	35
36	20	34
37	20	33
38	21	33
39	21	32
40	22	32
41	22	31
42	23	30
43	23	29
44	23	29
45	24	28
46	24	28
47	25	27
48	25	26
49	26	26
50	26	25
51	27	25
52	27	24
53	28	24
54	28	23
55	29	22
56	29	22
57	30	21
58	30	21
59	31	20
60	31	20
61	32	19
62	32	19
63	32	18
64	33	18
65	33	17
66	34	16
67	34	16
68	35	15
69	35	15
70	36	14
71	36	14
72	37	13
73	37	13
74	38	12
75	38	12
76	39	11
77	39	11
78	40	10
79	40	10
80	41	9
81	41	9
82	42	8
83	42	8
84	43	7
85	43	7
86	44	6
87	44	6
88	45	5
89	45	5
90	46	4
91	46	4
92	47	3
93	47	3
94	48	2
95	48	2
96	49	1
97	49	1
98	50	0
99	50	0
