iter	Passed	Remaining
0	135	135347
1	136	67928
2	136	45458
3	137	34204
4	137	27460
5	138	22955
6	139	19737
7	139	17324
8	140	15448
9	140	13945
10	141	12720
11	142	11695
12	142	10828
13	143	10087
14	143	9443
15	144	8877
16	145	8384
17	145	7941
18	146	7542
19	146	7184
20	147	6859
21	147	6564
22	148	6293
23	148	6044
24	149	5816
25	149	5604
26	150	5409
27	150	5227
28	151	5057
29	151	4900
30	152	4754
31	152	4616
32	153	4488
33	153	4366
34	154	4252
35	154	4145
36	155	4042
37	155	3944
38	156	3850
39	156	3762
40	157	3678
41	157	3598
42	158	3522
43	158	3451
44	159	3382
45	160	3330
46	161	3269
47	161	3210
48	162	3152
49	162	3096
50	163	3041
51	163	2989
52	164	2938
53	164	2889
54	165	2841
55	165	2796
56	166	2752
57	166	2710
58	167	2669
59	167	2629
60	168	2590
61	168	2553
62	169	2517
63	169	2482
64	170	2449
65	170	2416
66	171	2384
67	171	2353
68	172	2323
69	172	2295
70	173	2269
71	174	2245
72	174	2219
73	175	2194
74	175	2169
75	176	2145
76	177	2123
77	178	2107
78	178	2086
79	179	2063
80	179	2041
81	180	2022
82	180	1999
83	181	1978
84	181	1958
85	182	1938
86	182	1919
87	183	1900
88	183	1882
89	184	1864
90	184	1846
91	185	1828
92	185	1812
93	186	1795
94	186	1779
95	187	1763
96	187	1748
97	188	1739
98	189	1724
99	190	1710
100	190	1696
101	191	1682
102	191	1668
103	192	1655
104	192	1641
105	193	1628
106	193	1615
107	194	1602
108	194	1590
109	195	1577
110	195	1565
111	195	1553
112	196	1542
113	196	1530
114	197	1519
115	197	1508
116	198	1496
117	198	1485
118	199	1475
119	199	1464
120	200	1454
121	200	1443
122	201	1433
123	201	1423
124	202	1414
125	202	1405
126	203	1395
127	203	1387
128	204	1379
129	204	1370
130	205	1361
131	205	1353
132	206	1344
133	206	1336
134	207	1327
135	207	1319
136	208	1311
137	208	1303
138	209	1295
139	209	1287
140	210	1279
141	210	1271
142	210	1264
143	211	1256
144	211	1249
145	212	1242
146	212	1234
147	213	1227
148	213	1220
149	214	1214
150	214	1207
151	215	1200
152	215	1193
153	216	1187
154	217	1183
155	217	1178
156	218	1173
157	219	1167
158	219	1161
159	220	1157
160	220	1150
161	221	1145
162	221	1139
163	222	1133
164	222	1127
165	223	1122
166	223	1116
167	224	1111
168	224	1105
169	225	1100
170	225	1094
171	226	1089
172	226	1084
173	227	1078
174	227	1073
175	228	1068
176	228	1063
177	229	1058
178	229	1053
179	230	1048
180	230	1043
181	231	1038
182	231	1034
183	232	1029
184	232	1025
185	233	1021
186	233	1016
187	234	1012
188	234	1008
189	235	1003
190	235	999
191	236	994
192	236	990
193	237	986
194	237	981
195	238	977
196	238	973
197	239	969
198	239	965
199	240	960
200	240	956
201	241	952
202	241	948
203	242	944
204	242	941
205	243	937
206	243	933
207	244	929
208	244	925
209	245	921
210	245	918
211	246	914
212	246	911
213	247	907
214	247	904
215	248	901
216	248	897
217	249	894
218	249	890
219	250	887
220	250	884
221	251	880
222	251	877
223	252	874
224	252	870
225	253	867
226	253	864
227	254	860
228	254	857
229	255	854
230	255	851
231	256	847
232	256	844
233	257	841
234	257	838
235	258	835
236	258	832
237	259	829
238	259	827
239	260	824
240	260	821
241	261	818
242	261	815
243	262	813
244	262	810
245	263	807
246	263	804
247	264	802
248	264	799
249	265	796
250	265	793
251	266	790
252	266	788
253	267	785
254	267	782
255	268	779
256	268	777
257	269	774
258	269	771
259	270	769
260	270	766
261	271	764
262	271	761
263	272	758
264	272	756
265	273	753
266	273	751
267	274	749
268	274	746
269	275	744
270	275	741
271	276	739
272	276	737
273	277	735
274	278	733
275	278	730
276	279	728
277	279	726
278	280	724
279	280	721
280	281	719
281	281	717
282	282	715
283	282	713
284	283	710
285	283	708
286	284	706
287	284	704
288	285	702
289	285	699
290	286	697
291	286	695
292	287	693
293	288	691
294	288	690
295	289	688
296	289	686
297	290	684
298	291	682
299	291	681
300	292	679
301	293	677
302	293	675
303	294	673
304	294	671
305	295	670
306	296	668
307	296	666
308	297	664
309	297	662
310	298	660
311	298	658
312	298	656
313	299	654
314	299	652
315	300	650
316	300	648
317	301	646
318	301	644
319	302	642
320	302	640
321	303	638
322	303	636
323	304	635
324	304	633
325	305	631
326	306	629
327	306	628
328	307	626
329	307	624
330	308	623
331	308	621
332	309	619
333	309	617
334	310	615
335	310	614
336	311	612
337	311	610
338	312	608
339	312	607
340	313	605
341	313	603
342	314	601
343	314	600
344	315	598
345	315	597
346	316	595
347	316	593
348	317	591
349	317	590
350	318	588
351	318	586
352	319	585
353	319	583
354	320	582
355	320	580
356	321	579
357	322	577
358	322	576
359	323	574
360	323	572
361	324	571
362	324	570
363	325	568
364	325	567
365	326	565
366	326	563
367	327	562
368	327	560
369	328	559
370	328	557
371	329	556
372	329	554
373	330	553
374	330	551
375	331	549
376	331	548
377	332	546
378	332	545
379	333	543
380	333	542
381	334	540
382	335	539
383	335	538
384	336	537
385	336	535
386	337	534
387	337	532
388	338	531
389	339	530
390	339	529
391	340	527
392	340	526
393	341	524
394	341	523
395	342	522
396	342	520
397	343	519
398	343	517
399	344	516
400	344	515
401	345	513
402	345	512
403	346	510
404	346	509
405	347	508
406	347	506
407	348	505
408	348	503
409	349	502
410	349	501
411	350	499
412	350	498
413	351	497
414	351	495
415	352	494
416	352	493
417	353	491
418	353	490
419	354	489
420	354	488
421	355	486
422	355	485
423	356	484
424	357	483
425	357	481
426	360	484
427	361	482
428	362	481
429	362	480
430	363	479
431	363	478
432	364	476
433	364	475
434	365	474
435	365	473
436	366	472
437	366	470
438	367	469
439	367	468
440	368	466
441	368	465
442	369	464
443	369	463
444	370	462
445	371	460
446	371	459
447	372	458
448	372	457
449	373	455
450	373	454
451	374	453
452	374	452
453	374	450
454	375	449
455	375	448
456	376	447
457	376	446
458	377	444
459	377	443
460	378	442
461	378	441
462	379	440
463	380	439
464	380	437
465	381	436
466	381	435
467	382	434
468	382	433
469	383	432
470	383	430
471	384	429
472	384	428
473	385	427
474	385	426
475	386	425
476	386	423
477	387	422
478	387	421
479	388	420
480	388	419
481	389	418
482	389	416
483	389	415
484	390	414
485	390	413
486	391	412
487	391	411
488	392	410
489	392	408
490	393	407
491	393	406
492	394	405
493	395	404
494	395	403
495	396	402
496	396	401
497	397	400
498	397	399
499	398	398
500	398	397
501	399	396
502	399	394
503	400	393
504	400	392
505	401	391
506	401	390
507	402	389
508	402	388
509	403	387
510	403	386
511	404	385
512	404	384
513	405	383
514	405	382
515	406	381
516	406	379
517	407	378
518	407	377
519	408	376
520	408	375
521	409	374
522	410	374
523	410	373
524	411	371
525	411	370
526	412	369
527	412	369
528	413	368
529	414	367
530	414	366
531	415	365
532	415	364
533	416	363
534	416	362
535	417	361
536	417	360
537	418	359
538	418	357
539	419	356
540	419	355
541	420	354
542	420	354
543	421	353
544	421	351
545	422	350
546	422	349
547	423	348
548	423	348
549	424	347
550	424	346
551	425	345
552	425	344
553	426	343
554	426	342
555	427	341
556	427	340
557	428	339
558	428	338
559	429	337
560	429	336
561	430	335
562	430	334
563	431	333
564	431	332
565	432	331
566	432	330
567	433	329
568	433	328
569	434	327
570	434	326
571	435	325
572	435	324
573	436	323
574	436	322
575	437	321
576	437	320
577	438	320
578	438	319
579	439	318
580	439	317
581	440	316
582	441	315
583	441	314
584	442	313
585	442	312
586	443	311
587	443	310
588	444	309
589	444	308
590	445	307
591	445	307
592	446	306
593	446	305
594	447	304
595	447	303
596	448	302
597	448	301
598	448	300
599	449	299
600	449	298
601	450	297
602	450	296
603	451	295
604	451	295
605	452	294
606	453	293
607	453	292
608	454	291
609	454	290
610	455	289
611	455	288
612	456	288
613	456	287
614	457	286
615	457	285
616	458	284
617	458	283
618	459	282
619	459	281
620	460	280
621	460	280
622	461	279
623	461	278
624	462	277
625	462	276
626	463	275
627	463	274
628	464	273
629	464	272
630	465	272
631	465	271
632	466	270
633	466	269
634	467	268
635	467	267
636	468	266
637	469	266
638	469	265
639	470	264
640	470	263
641	471	262
642	471	261
643	472	261
644	472	260
645	473	259
646	473	258
647	474	257
648	474	256
649	475	255
650	475	255
651	476	254
652	476	253
653	477	252
654	477	251
655	478	250
656	478	249
657	479	249
658	479	248
659	480	247
660	480	246
661	481	245
662	481	244
663	482	244
664	483	243
665	483	242
666	484	241
667	484	240
668	485	240
669	485	239
670	486	238
671	487	237
672	487	236
673	488	236
674	488	235
675	489	234
676	489	233
677	490	232
678	490	231
679	490	231
680	491	230
681	491	229
682	492	228
683	492	227
684	493	226
685	493	226
686	494	225
687	494	224
688	495	223
689	495	222
690	496	222
